Country,GDP per capita (current US$),Population,CO2 emissions
Afghanistan,500.5226641,37769499,0.077395432
Albania,5396.215864,2854191,0.123922807
Algeria,4022.150184,42705368,0.344881567
American Samoa,13672.57666,47321,..
Andorra,41327.50203,76343,..
Angola,2142.238757,32353588,0.118017658
Antigua and Barbuda,18319.45605,92117,0.245054634
Argentina,9963.672506,44938712,0.169476848
Armenia,4828.505178,2820602,0.152782835
Aruba,31650.76054,106442,..
Australia,54941.43418,25340217,0.308908433
Austria,50070.40335,8879920,0.130701483
Azerbaijan,4805.753718,10024283,0.245283742
"Bahamas, The",32610.48505,404557,0.199648996
Bahrain,25869.11291,1494188,0.447258159
Bangladesh,2122.078851,165516222,0.100274985
Barbados,19002.96238,280180,0.279628508
Belarus,6837.717826,9419758,0.317556477
Belgium,46638.68131,11488980,0.155752642
Belize,6210.565543,389095,0.182182323
Benin,1170.965533,12290444,0.188173258
Bermuda,116153.1661,63911,..
Bhutan,3303.964211,767459,0.115971708
Bolivia,3472.380831,11777315,0.22240859
Bosnia and Herzegovina,6011.370671,3360711,0.42839894
Botswana,6679.167674,2499702,0.191847247
Brazil,8845.259118,211782878,0.139643665
British Virgin Islands,..,30610,..
Brunei Darussalam,30748.73749,438048,0.259785429
Bulgaria,9879.334343,6975761,0.241117459
Burkina Faso,772.1668949,20951639,0.113098468
Burundi,216.9729681,11874838,0.083096972
Cabo Verde,3434.562745,577030,0.164805393
Cambodia,1671.385385,16207746,0.223616102
Cameroon,1538.687947,25782341,0.097365447
Canada,46328.67184,37601230,0.313812053
Cayman Islands,89871.91314,66134,..
Central African Republic,426.4087626,5209324,0.053461373
Chad,701.6212166,16126866,0.089320765
Channel Islands,..,169410,..
Chile,14631.94688,19039485,0.193377511
China,10143.8382,1407745000,0.476032632
Colombia,6438.060183,50187406,0.110477068
Comoros,1510.797358,790986,0.122941755
"Congo, Dem. Rep.",575.8827908,89906890,0.033686074
"Congo, Rep.",2288.808138,5570733,0.352697675
Costa Rica,12669.34107,5084532,0.077845932
Cote d'Ivoire,2238.811005,26147551,0.080791396
