Country,Share,Emission
Afghanistan,18.51,0.160976451
Albania,40.2,1.69224832
Algeria,0.16,4.010034523
American Samoa,0.5,
Andorra,18.4,6.549388942
Angola,54.69,0.779202575
Antigua and Barbuda,0.91,5.644994745
Argentina,10.74,3.740650291
Armenia,10.34,2.187476318
Aruba,7.48,
Australia,10.13,15.25361834
Austria,33.77,7.293984252
Azerbaijan,1.62,3.542397828
"Bahamas, The",1.14,7.02002416
Bahrain,0,22.25958067
Bangladesh,24.75,0.548224197
Barbados,4.31,4.46141766
Belarus,7.83,6.122237765
Belgium,10.21,8.095583954
Belize,29.09,1.644842482
Benin,46.47,0.593957402
Bermuda,0.84,
Bhutan,82.27,1.368151201
Bolivia,8.67,1.896866998
Bosnia and Herzegovina,37.02,6.26950657
Botswana,25.57,2.900345721
Brazil,47.57,2.050685078
British Virgin Islands,1.23,
Brunei Darussalam,0.01,15.95715486
Bulgaria,19.34,5.61085728
Burkina Faso,64.85,0.238644814
Burundi,84.77,0.060632409
Cabo Verde,22.19,1.126457855
Cambodia,53.36,0.998288121
Cameroon,79.41,0.365754231
Canada,22.11,15.43061283
Cayman Islands,0,
Central African Republic,91.26,0.046071236
Chad,77.79,0.139518738
Channel Islands,,
Chile,25.26,4.798974486
China,14.45,7.605936961
Colombia,30.72,1.61474775
Comoros,53.43,0.404558352
"Congo, Dem. Rep.",96.24,0.035703604
"Congo, Rep.",68.67,1.303239669
Costa Rica,35.76,1.620601418
Cote d'Ivoire,62.46,0.414187926
Croatia,31.6,4.063707833
Cuba,21.54,2.289537296
Curacao,2.68,
Cyprus,12.05,5.851065608
Czechia,15.85,9.022786158
Denmark,37.52,5.107988509
Djibouti,27.92,0.391063625
Dominica,8.05,2.380019065
Dominican Republic,13.98,2.502324464
Ecuador,17.73,2.265370728
"Egypt, Arab Rep.",5.3,2.361040835
El Salvador,19.39,1.241995331
Equatorial Guinea,6.58,3.444876441
Eritrea,73.67,0.25151351
Estonia,31.29,7.672029278
Eswatini,65.95,0.820784292
Ethiopia,88.92,0.160882449
Faroe Islands,5.4,
Fiji,26.48,1.774700174
Finland,45.76,7.372854761
France,15.53,4.459547465
French Polynesia,7.67,
Gabon,89.88,2.340839626
"Gambia, The",49.24,0.23117857
Georgia,25.22,2.717624226
Germany,17.17,7.911621016
Ghana,41.8,0.635740643
Gibraltar,0,
Greece,18.51,5.59618907
