Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.0388886404336861,0.160976451493467
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Africa Eastern and Southern,AFE,0.886253682477178,0.903764110583573
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Africa Western and Central,AFW,0.525718638722687,0.485883896346851
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.026213108529,1.69224831964856
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.60116932065548,4.01003452306043
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.86722544139674,6.54938894201171
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.988162665238182,0.77920257513549
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,4.3967756978216,5.64499474501464
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Arab World,ARB,3.27169287663677,4.27260846110939
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.56803987960974,3.74065029063396
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,1.12355188837196,2.1874763175712
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,17.8387478097675,15.2536183403361
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,7.92978551259517,7.2939842524557
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,3.44034987451234,3.54239782750878
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Bahamas, The",BHS,6.86124290030583,7.02002416017844
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahrain,BHR,22.3208638230523,22.2595806695899
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,0.167578314629207,0.548224196802713
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Barbados,BRB,4.68530966496257,4.46141766007567
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belarus,BLR,5.30481652088609,6.12223776544422
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belgium,BEL,11.4395805389587,8.09558395403513
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belize,BLZ,1.87183348169347,1.64484248241402
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Benin,BEN,0.202914451695858,0.593957402249655
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bermuda,BMU,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bhutan,BTN,0.35762516455015,1.36815120067167
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bolivia,BOL,0.955467087242873,1.89686699834282
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bosnia and Herzegovina,BIH,3.34023233277902,6.26950657013477
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Botswana,BWA,2.33354661447552,2.90034572120997
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brazil,BRA,1.78349556716035,2.05068507848387
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,British Virgin Islands,VGB,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brunei Darussalam,BRN,14.1348682043327,15.9571548577283
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bulgaria,BGR,5.31445360024244,5.61085727989368
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Burkina Faso,BFA,0.0791053488007293,0.238644814374665
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Burundi,BDI,0.0412197298554028,0.0606324085103501
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cabo Verde,CPV,0.480086240946555,1.12645785515162
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cambodia,KHM,0.161731637538606,0.99828812132025
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cameroon,CMR,0.34522529561821,0.36575423097444
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Canada,CAN,16.7576264276587,15.4306128276297
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Caribbean small states,CSS,4.3648411664229,5.10230069373955
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cayman Islands,CYM,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Central African Republic,CAF,0.0638438804310526,0.0460712358524027
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Central Europe and the Baltics,CEB,6.53789051590376,6.26542158494275
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Chad,TCD,0.0351126273846771,0.139518738482728
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Channel Islands,CHI,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Chile,CHL,3.28430563740445,4.79897448626273
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,China,CHN,2.65041242787957,7.60593696057347
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Colombia,COL,1.48769091321501,1.61474774997391
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Comoros,COM,0.186303697383178,0.404558352293774
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Congo, Dem. Rep.",COD,0.0335278379890439,0.035703604452862
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Congo, Rep.",COG,1.38798926621634,1.30323966861845
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Costa Rica,CRI,1.24397082524019,1.62060141840353
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cote d'Ivoire,CIV,0.38631711218137,0.414187926192633
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Croatia,HRV,4.03732782609591,4.06370783264011
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cuba,CUB,2.5527222689496,2.28953729585692
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Curacao,CUW,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cyprus,CYP,7.51921724210298,5.85106560779507
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Czechia,CZE,12.0106526893106,9.02278615795801
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Denmark,DNK,9.85089564493027,5.10798850907958
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Djibouti,DJI,0.498630114833168,0.391063625017438
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Dominica,DMA,1.90208644251309,2.38001906518647
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Dominican Republic,DOM,2.18598019785287,2.50232446393338
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Early-demographic dividend,EAR,1.55006467164001,2.23438682573138
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific,EAS,3.15066399836903,6.48971014758405
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific (excluding high income),EAP,2.27695559615347,5.93030012315822
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific (IDA & IBRD countries),TEA,2.26665207198431,5.97680917722675
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ecuador,ECU,1.74632620090418,2.26537072831623
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Egypt, Arab Rep.",EGY,1.60582595505977,2.36104083450537
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,El Salvador,SLV,0.944871529359323,1.2419953308516
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Equatorial Guinea,GNQ,3.24098473379398,3.44487644137984
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Eritrea,ERI,0.267460131724115,0.251513509771479
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Estonia,EST,10.6801433086254,7.67202927819305
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Eswatini,SWZ,0.669580473868894,0.820784292361942
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ethiopia,ETH,0.0531090682585344,0.160882448704671
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Euro area,EMU,8.19249388240158,6.11138351460838
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia,ECS,7.55416566294078,6.57407724965249
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia (excluding high income),ECA,6.96851585367026,7.36419384809465
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia (IDA & IBRD countries),TEC,6.85015305051986,7.21881162974532
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,European Union,EUU,7.83146404657326,6.09112615396335
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Faroe Islands,FRO,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Fiji,FJI,0.972962454459952,1.7747001739115
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Finland,FIN,10.6448561099446,7.37285476082008
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Fragile and conflict affected situations,FCS,0.867449435390383,0.761341719929743
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,France,FRA,6.12461463449353,4.45954746474334
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,French Polynesia,PYF,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Gabon,GAB,4.77636328642075,2.34083962573318
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Gambia, The",GMB,0.166951992258993,0.231178569630668
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Georgia,GEO,1.16994033304301,2.71762422558518
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Germany,DEU,10.0993160227641,7.91162101567715
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ghana,GHA,0.291881692112411,0.635740643066456
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Gibraltar,GIB,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Greece,GRC,8.74159526062281,5.59618906985928
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Greenland,GRL,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Grenada,GRD,1.95472484920694,2.68896070135444
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guam,GUM,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guatemala,GTM,0.812786389641685,1.16297092439764
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guinea,GIN,0.178722070028585,0.306735630750854
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guinea-Bissau,GNB,0.121867101488485,0.167473846479787
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guyana,GUY,2.18694132541819,3.56806159680473
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Haiti,HTI,0.175832588237757,0.297479358179563
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Heavily indebted poor countries (HIPC),HPC,0.167681167546858,0.280603324442368
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,High income,HIC,11.9218351075298,9.81136028763659
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Honduras,HND,0.749617867645126,1.02622509805408
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Hong Kong SAR, China",HKG,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Hungary,HUN,5.35012781840238,4.74663102989868
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IBRD only,IBD,2.53016637760657,4.43246348199086
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Iceland,ISL,7.93015771412315,4.54844225751086
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA & IBRD total,IBT,2.08978154326956,3.42377200706546
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA blend,IDB,0.959527124374007,0.850055507385363
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA only,IDX,0.233947852907531,0.38318074498158
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA total,IDA,0.48037461230375,0.540054104563691
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,India,IND,0.885079459181967,1.77592267295201
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Indonesia,IDN,1.31100493323238,2.2992559151159
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Iran, Islamic Rep.",IRN,5.19419032444016,7.27795087587852
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Iraq,IRQ,3.55802124483401,4.19983672120634
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ireland,IRL,11.1768870490548,7.24514322077522
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Isle of Man,IMN,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Israel,ISR,9.06344410876133,6.91959371834315
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Italy,ITA,7.66216803916005,5.31131544170879
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Jamaica,JAM,3.85115257033809,2.98176162161011
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Japan,JPN,9.32341556096907,8.54098020491546
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Jordan,JOR,3.21784811994207,2.30215243883444
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kazakhstan,KAZ,8.07262961324075,11.4569378323984
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kenya,KEN,0.269678019354973,0.43727903105104
