,Date,All vacancies,Unemployed level
0,2001-04-01,680,1468
1,2001-07-01,663,1487
2,2001-10-01,601,1520
3,2002-01-01,617,1515
4,2002-04-01,616,1520
5,2002-07-01,610,1566
6,2002-10-01,603,1516
7,2003-01-01,594,1531
8,2003-04-01,579,1467
9,2003-07-01,593,1502
10,2003-10-01,614,1457
11,2004-01-01,624,1434
12,2004-04-01,641,1437
13,2004-07-01,655,1401
14,2004-10-01,662,1423
15,2005-01-01,641,1416
16,2005-04-01,642,1437
17,2005-07-01,623,1437
18,2005-10-01,609,1567
19,2006-01-01,599,1604
20,2006-04-01,603,1685
21,2006-07-01,613,1693
22,2006-10-01,620,1701
23,2007-01-01,640,1704
24,2007-04-01,658,1658
25,2007-07-01,685,1650
26,2007-10-01,687,1608
27,2008-01-01,695,1622
28,2008-04-01,656,1680
29,2008-07-01,617,1840
30,2008-10-01,527,2003
31,2009-01-01,463,2235
32,2009-04-01,431,2448
33,2009-07-01,438,2475
34,2009-10-01,454,2453
35,2010-01-01,463,2526
36,2010-04-01,483,2488
37,2010-07-01,457,2470
38,2010-10-01,483,2503
39,2011-01-01,483,2483
40,2011-04-01,460,2540
41,2011-07-01,465,2662
42,2011-10-01,465,2689
43,2012-01-01,466,2635
44,2012-04-01,474,2577
45,2012-07-01,488,2539
46,2012-10-01,501,2535
47,2013-01-01,504,2540
48,2013-04-01,533,2515
49,2013-07-01,548,2483
50,2013-10-01,573,2357
51,2014-01-01,616,2212
52,2014-04-01,662,2061
53,2014-07-01,686,1961
54,2014-10-01,708,1870
55,2015-01-01,729,1826
56,2015-04-01,730,1849
57,2015-07-01,742,1760
58,2015-10-01,746,1688
59,2016-01-01,746,1687
60,2016-04-01,747,1643
61,2016-07-01,754,1618
62,2016-10-01,757,1585
63,2017-01-01,774,1527
64,2017-04-01,782,1485
65,2017-07-01,801,1429
66,2017-10-01,822,1463
67,2018-01-01,815,1417
68,2018-04-01,829,1362
69,2018-07-01,847,1377
70,2018-10-01,858,1363
71,2019-01-01,846,1298
72,2019-04-01,821,1329
73,2019-07-01,820,1306
74,2019-10-01,811,1290
75,2020-01-01,796,1376
76,2020-04-01,329,1397
77,2020-07-01,493,1659
78,2020-10-01,599,1773
79,2021-01-01,626,1673
80,2021-04-01,865,1600
81,2021-07-01,1128,1452
82,2021-10-01,1238,1373
83,2022-01-01,1287,1259
84,2022-04-01,1295,1294
