,Date,All vacancies,vacancy,Unemployed level,Unemployed 
0,2001/4/1,680,vacancy,1468,Unemployed 
1,2001/7/1,663,vacancy,1487,Unemployed 
2,2001/10/1,601,vacancy,1520,Unemployed 
3,2002/1/1,617,vacancy,1515,Unemployed 
4,2002/4/1,616,vacancy,1520,Unemployed 
5,2002/7/1,610,vacancy,1566,Unemployed 
6,2002/10/1,603,vacancy,1516,Unemployed 
7,2003/1/1,594,vacancy,1531,Unemployed 
8,2003/4/1,579,vacancy,1467,Unemployed 
9,2003/7/1,593,vacancy,1502,Unemployed 
10,2003/10/1,614,vacancy,1457,Unemployed 
11,2004/1/1,624,vacancy,1434,Unemployed 
12,2004/4/1,641,vacancy,1437,Unemployed 
13,2004/7/1,655,vacancy,1401,Unemployed 
14,2004/10/1,662,vacancy,1423,Unemployed 
15,2005/1/1,641,vacancy,1416,Unemployed 
16,2005/4/1,642,vacancy,1437,Unemployed 
17,2005/7/1,623,vacancy,1437,Unemployed 
18,2005/10/1,609,vacancy,1567,Unemployed 
19,2006/1/1,599,vacancy,1604,Unemployed 
20,2006/4/1,603,vacancy,1685,Unemployed 
21,2006/7/1,613,vacancy,1693,Unemployed 
22,2006/10/1,620,vacancy,1701,Unemployed 
23,2007/1/1,640,vacancy,1704,Unemployed 
24,2007/4/1,658,vacancy,1658,Unemployed 
25,2007/7/1,685,vacancy,1650,Unemployed 
26,2007/10/1,687,vacancy,1608,Unemployed 
27,2008/1/1,695,vacancy,1622,Unemployed 
28,2008/4/1,656,vacancy,1680,Unemployed 
29,2008/7/1,617,vacancy,1840,Unemployed 
30,2008/10/1,527,vacancy,2003,Unemployed 
31,2009/1/1,463,vacancy,2235,Unemployed 
32,2009/4/1,431,vacancy,2448,Unemployed 
33,2009/7/1,438,vacancy,2475,Unemployed 
34,2009/10/1,454,vacancy,2453,Unemployed 
35,2010/1/1,463,vacancy,2526,Unemployed 
36,2010/4/1,483,vacancy,2488,Unemployed 
37,2010/7/1,457,vacancy,2470,Unemployed 
38,2010/10/1,483,vacancy,2503,Unemployed 
39,2011/1/1,483,vacancy,2483,Unemployed 
40,2011/4/1,460,vacancy,2540,Unemployed 
41,2011/7/1,465,vacancy,2662,Unemployed 
42,2011/10/1,465,vacancy,2689,Unemployed 
43,2012/1/1,466,vacancy,2635,Unemployed 
44,2012/4/1,474,vacancy,2577,Unemployed 
45,2012/7/1,488,vacancy,2539,Unemployed 
46,2012/10/1,501,vacancy,2535,Unemployed 
47,2013/1/1,504,vacancy,2540,Unemployed 
48,2013/4/1,533,vacancy,2515,Unemployed 
49,2013/7/1,548,vacancy,2483,Unemployed 
50,2013/10/1,573,vacancy,2357,Unemployed 
51,2014/1/1,616,vacancy,2212,Unemployed 
52,2014/4/1,662,vacancy,2061,Unemployed 
53,2014/7/1,686,vacancy,1961,Unemployed 
54,2014/10/1,708,vacancy,1870,Unemployed 
55,2015/1/1,729,vacancy,1826,Unemployed 
56,2015/4/1,730,vacancy,1849,Unemployed 
57,2015/7/1,742,vacancy,1760,Unemployed 
58,2015/10/1,746,vacancy,1688,Unemployed 
59,2016/1/1,746,vacancy,1687,Unemployed 
60,2016/4/1,747,vacancy,1643,Unemployed 
61,2016/7/1,754,vacancy,1618,Unemployed 
62,2016/10/1,757,vacancy,1585,Unemployed 
63,2017/1/1,774,vacancy,1527,Unemployed 
64,2017/4/1,782,vacancy,1485,Unemployed 
65,2017/7/1,801,vacancy,1429,Unemployed 
66,2017/10/1,822,vacancy,1463,Unemployed 
67,2018/1/1,815,vacancy,1417,Unemployed 
68,2018/4/1,829,vacancy,1362,Unemployed 
69,2018/7/1,847,vacancy,1377,Unemployed 
70,2018/10/1,858,vacancy,1363,Unemployed 
71,2019/1/1,846,vacancy,1298,Unemployed 
72,2019/4/1,821,vacancy,1329,Unemployed 
73,2019/7/1,820,vacancy,1306,Unemployed 
74,2019/10/1,811,vacancy,1290,Unemployed 
75,2020/1/1,796,vacancy,1376,Unemployed 
76,2020/4/1,329,vacancy,1397,Unemployed 
77,2020/7/1,493,vacancy,1659,Unemployed 
78,2020/10/1,599,vacancy,1773,Unemployed 
79,2021/1/1,626,vacancy,1673,Unemployed 
80,2021/4/1,865,vacancy,1600,Unemployed 
81,2021/7/1,1128,vacancy,1452,Unemployed 
82,2021/10/1,1238,vacancy,1373,Unemployed 
83,2022/1/1,1287,vacancy,1259,Unemployed 
84,2022/4/1,1295,vacancy,1294,Unemployed 
