,Date,All vacancies,Vacancy,Unemployed level,Unemployed
0,2001/4/1,680,vacancy,1468,Unemployed level
1,2001/7/1,663,vacancy,1487,Unemployed level
2,2001/10/1,601,vacancy,1520,Unemployed level
3,2002/1/1,617,vacancy,1515,Unemployed level
4,2002/4/1,616,vacancy,1520,Unemployed level
5,2002/7/1,610,vacancy,1566,Unemployed level
6,2002/10/1,603,vacancy,1516,Unemployed level
7,2003/1/1,594,vacancy,1531,Unemployed level
8,2003/4/1,579,vacancy,1467,Unemployed level
9,2003/7/1,593,vacancy,1502,Unemployed level
10,2003/10/1,614,vacancy,1457,Unemployed level
11,2004/1/1,624,vacancy,1434,Unemployed level
12,2004/4/1,641,vacancy,1437,Unemployed level
13,2004/7/1,655,vacancy,1401,Unemployed level
14,2004/10/1,662,vacancy,1423,Unemployed level
15,2005/1/1,641,vacancy,1416,Unemployed level
16,2005/4/1,642,vacancy,1437,Unemployed level
17,2005/7/1,623,vacancy,1437,Unemployed level
18,2005/10/1,609,vacancy,1567,Unemployed level
19,2006/1/1,599,vacancy,1604,Unemployed level
20,2006/4/1,603,vacancy,1685,Unemployed level
21,2006/7/1,613,vacancy,1693,Unemployed level
22,2006/10/1,620,vacancy,1701,Unemployed level
23,2007/1/1,640,vacancy,1704,Unemployed level
24,2007/4/1,658,vacancy,1658,Unemployed level
25,2007/7/1,685,vacancy,1650,Unemployed level
26,2007/10/1,687,vacancy,1608,Unemployed level
27,2008/1/1,695,vacancy,1622,Unemployed level
28,2008/4/1,656,vacancy,1680,Unemployed level
29,2008/7/1,617,vacancy,1840,Unemployed level
30,2008/10/1,527,vacancy,2003,Unemployed level
31,2009/1/1,463,vacancy,2235,Unemployed level
32,2009/4/1,431,vacancy,2448,Unemployed level
33,2009/7/1,438,vacancy,2475,Unemployed level
34,2009/10/1,454,vacancy,2453,Unemployed level
35,2010/1/1,463,vacancy,2526,Unemployed level
36,2010/4/1,483,vacancy,2488,Unemployed level
37,2010/7/1,457,vacancy,2470,Unemployed level
38,2010/10/1,483,vacancy,2503,Unemployed level
39,2011/1/1,483,vacancy,2483,Unemployed level
40,2011/4/1,460,vacancy,2540,Unemployed level
41,2011/7/1,465,vacancy,2662,Unemployed level
42,2011/10/1,465,vacancy,2689,Unemployed level
43,2012/1/1,466,vacancy,2635,Unemployed level
44,2012/4/1,474,vacancy,2577,Unemployed level
45,2012/7/1,488,vacancy,2539,Unemployed level
46,2012/10/1,501,vacancy,2535,Unemployed level
47,2013/1/1,504,vacancy,2540,Unemployed level
48,2013/4/1,533,vacancy,2515,Unemployed level
49,2013/7/1,548,vacancy,2483,Unemployed level
50,2013/10/1,573,vacancy,2357,Unemployed level
51,2014/1/1,616,vacancy,2212,Unemployed level
52,2014/4/1,662,vacancy,2061,Unemployed level
53,2014/7/1,686,vacancy,1961,Unemployed level
54,2014/10/1,708,vacancy,1870,Unemployed level
55,2015/1/1,729,vacancy,1826,Unemployed level
56,2015/4/1,730,vacancy,1849,Unemployed level
57,2015/7/1,742,vacancy,1760,Unemployed level
58,2015/10/1,746,vacancy,1688,Unemployed level
59,2016/1/1,746,vacancy,1687,Unemployed level
60,2016/4/1,747,vacancy,1643,Unemployed level
61,2016/7/1,754,vacancy,1618,Unemployed level
62,2016/10/1,757,vacancy,1585,Unemployed level
63,2017/1/1,774,vacancy,1527,Unemployed level
64,2017/4/1,782,vacancy,1485,Unemployed level
65,2017/7/1,801,vacancy,1429,Unemployed level
66,2017/10/1,822,vacancy,1463,Unemployed level
67,2018/1/1,815,vacancy,1417,Unemployed level
68,2018/4/1,829,vacancy,1362,Unemployed level
69,2018/7/1,847,vacancy,1377,Unemployed level
70,2018/10/1,858,vacancy,1363,Unemployed level
71,2019/1/1,846,vacancy,1298,Unemployed level
72,2019/4/1,821,vacancy,1329,Unemployed level
73,2019/7/1,820,vacancy,1306,Unemployed level
74,2019/10/1,811,vacancy,1290,Unemployed level
75,2020/1/1,796,vacancy,1376,Unemployed level
76,2020/4/1,329,vacancy,1397,Unemployed level
77,2020/7/1,493,vacancy,1659,Unemployed level
78,2020/10/1,599,vacancy,1773,Unemployed level
79,2021/1/1,626,vacancy,1673,Unemployed level
80,2021/4/1,865,vacancy,1600,Unemployed level
81,2021/7/1,1128,vacancy,1452,Unemployed level
82,2021/10/1,1238,vacancy,1373,Unemployed level
83,2022/1/1,1287,vacancy,1259,Unemployed level
84,2022/4/1,1295,vacancy,1294,Unemployed level
