Country Name,Renewable energy consumption,GDP per capita (current US$)
Afghanistan,18.51,500.5226641
Albania,40.2,5396.215864
Algeria,0.16,4022.150184
American Samoa,0.5,13672.57666
Andorra,18.4,41327.50203
Angola,54.69,2142.238757
Antigua and Barbuda,0.91,18319.45605
Argentina,10.74,9963.672506
Armenia,10.34,4828.505178
Aruba,7.48,31650.76054
Australia,10.13,54941.43418
Austria,33.77,50070.40335
Azerbaijan,1.62,4805.753718
"Bahamas, The",1.14,32610.48505
Bahrain,0,25869.11291
Bangladesh,24.75,2122.078851
Barbados,4.31,19002.96238
Belarus,7.83,6837.717826
Belgium,10.21,46638.68131
Belize,29.09,6210.565543
Benin,46.47,1170.965533
Bermuda,0.84,116153.1661
Bhutan,82.27,3303.964211
Bolivia,8.67,3472.380831
Bosnia and Herzegovina,37.02,6011.370671
Botswana,25.57,6679.167674
Brazil,47.57,8845.259118
British Virgin Islands,1.23,..
Brunei Darussalam,0.01,30748.73749
Bulgaria,19.34,9879.334343
Burkina Faso,64.85,772.1668949
Burundi,84.77,216.9729681
Cabo Verde,22.19,3434.562745
Cambodia,53.36,1671.385385
Cameroon,79.41,1538.687947
Canada,22.11,46328.67184
Cayman Islands,0,89871.91314
Central African Republic,91.26,426.4087626
Chad,77.79,701.6212166
Channel Islands,..,..
Chile,25.26,14631.94688
China,14.45,10143.8382
Colombia,30.72,6438.060183
Comoros,53.43,1510.797358
"Congo, Dem. Rep.",96.24,575.8827908
"Congo, Rep.",68.67,2288.808138
Costa Rica,35.76,12669.34107
Cote d'Ivoire,62.46,2238.811005
Croatia,31.6,15331.88305
Cuba,21.54,9139.415856
Curacao,2.68,19024.17715
Cyprus,12.05,29417.13867
Czechia,15.85,23664.84786
Denmark,37.52,59592.98069
Djibouti,27.92,2876.043664
Dominica,8.05,8561.587011
Dominican Republic,13.98,8173.338007
Ecuador,17.73,6233.258167
"Egypt, Arab Rep.",5.3,2869.576588
El Salvador,19.39,4280.288404
Equatorial Guinea,6.58,7317.390189
Eritrea,73.67,..
Estonia,31.29,23424.48471
Eswatini,65.95,3843.377391
Ethiopia,88.92,840.4494515
Faroe Islands,5.4,63383.19615
Fiji,26.48,5968.300559
Finland,45.76,48629.85823
France,15.53,40494.89829
French Polynesia,7.67,20023.5047
Gabon,89.88,7523.862278
"Gambia, The",49.24,722.8747931
Georgia,25.22,4696.150586
Germany,17.17,46793.68676
Ghana,41.8,2167.911589
Gibraltar,0,..
